Epoch [50], Step [1/120], Patch [1/6], SIDD Loss: 0.00018177925085183233, DIV2K Loss: 0.0007519732462242246
Epoch [50], Step [1/120], Patch [2/6], SIDD Loss: 9.729995508678257e-05, DIV2K Loss: 0.003281376790255308
Epoch [50], Step [1/120], Patch [3/6], SIDD Loss: 0.00010847575322259218, DIV2K Loss: 0.005124565213918686
Epoch [50], Step [1/120], Patch [4/6], SIDD Loss: 0.000174385349964723, DIV2K Loss: 0.00650354940444231
Epoch [50], Step [1/120], Patch [5/6], SIDD Loss: 0.00011813743913080543, DIV2K Loss: 0.014369560405611992
Epoch [50], Step [1/120], Patch [6/6], SIDD Loss: 0.00010328314965590835, DIV2K Loss: 0.010919731110334396
Epoch [50], Step [2/120], Patch [1/9], SIDD Loss: 0.0002138050622306764, DIV2K Loss: 0.003552443813532591
Epoch [50], Step [2/120], Patch [2/9], SIDD Loss: 0.00015332692419178784, DIV2K Loss: 0.0045803082175552845
Epoch [50], Step [2/120], Patch [3/9], SIDD Loss: 9.355516522191465e-05, DIV2K Loss: 0.002780723385512829
Epoch [50], Step [2/120], Patch [4/9], SIDD Loss: 7.770032971166074e-05, DIV2K Loss: 0.00533975288271904
Epoch [50], Step [2/120], Patch [5/9], SIDD Loss: 7.757430284982547e-05, DIV2K Loss: 0.005150948651134968
Epoch [50], Step [2/120], Patch [6/9], SIDD Loss: 7.840956095606089e-05, DIV2K Loss: 0.008815651759505272
Epoch [50], Step [2/120], Patch [7/9], SIDD Loss: 7.191720214905217e-05, DIV2K Loss: 0.006465079262852669
Epoch [50], Step [2/120], Patch [8/9], SIDD Loss: 7.351263047894463e-05, DIV2K Loss: 0.00792411807924509
Epoch [50], Step [2/120], Patch [9/9], SIDD Loss: 6.216422480065376e-05, DIV2K Loss: 0.0050976211205124855
Epoch [50], Step [3/120], Patch [1/9], SIDD Loss: 7.583321712445468e-05, DIV2K Loss: 0.034396976232528687
Epoch [50], Step [3/120], Patch [2/9], SIDD Loss: 4.285047180019319e-05, DIV2K Loss: 0.04674467444419861
Epoch [50], Step [3/120], Patch [3/9], SIDD Loss: 5.943217547610402e-05, DIV2K Loss: 0.034244026988744736
Epoch [50], Step [3/120], Patch [4/9], SIDD Loss: 3.7343124859035015e-05, DIV2K Loss: 0.028778526932001114
Epoch [50], Step [3/120], Patch [5/9], SIDD Loss: 4.4178996176924556e-05, DIV2K Loss: 0.027592113241553307
