Epoch [59], Step [1/120], Patch [1/9], SIDD Loss: 3.848453707178123e-05, DIV2K Loss: 0.007026405539363623
Epoch [59], Step [1/120], Patch [2/9], SIDD Loss: 5.3856882004765794e-05, DIV2K Loss: 0.005854492541402578
Epoch [59], Step [1/120], Patch [3/9], SIDD Loss: 4.0342136344406754e-05, DIV2K Loss: 0.004326805006712675
Epoch [59], Step [1/120], Patch [4/9], SIDD Loss: 5.0639424443943426e-05, DIV2K Loss: 0.007110343314707279
Epoch [59], Step [1/120], Patch [5/9], SIDD Loss: 3.709753946168348e-05, DIV2K Loss: 0.0075643970631062984
Epoch [59], Step [1/120], Patch [6/9], SIDD Loss: 2.0774477889062837e-05, DIV2K Loss: 0.011969457380473614
Epoch [59], Step [1/120], Patch [7/9], SIDD Loss: 2.319888699275907e-05, DIV2K Loss: 0.008502965793013573
Epoch [59], Step [1/120], Patch [8/9], SIDD Loss: 4.0410544897895306e-05, DIV2K Loss: 0.010583838447928429
Epoch [59], Step [1/120], Patch [9/9], SIDD Loss: 3.5185446904506534e-05, DIV2K Loss: 0.007962356321513653
Epoch [59], Step [2/120], Patch [1/9], SIDD Loss: 0.00010764796752482653, DIV2K Loss: 0.0019988459534943104
Epoch [59], Step [2/120], Patch [2/9], SIDD Loss: 0.00012481227167882025, DIV2K Loss: 0.002169779036194086
Epoch [59], Step [2/120], Patch [3/9], SIDD Loss: 6.035378828528337e-05, DIV2K Loss: 0.0036748170386999846
Epoch [59], Step [2/120], Patch [4/9], SIDD Loss: 0.00011727186938514933, DIV2K Loss: 0.01441683154553175
Epoch [59], Step [2/120], Patch [5/9], SIDD Loss: 4.78402798762545e-05, DIV2K Loss: 0.00496752979233861
Epoch [59], Step [2/120], Patch [6/9], SIDD Loss: 0.00016342148592229933, DIV2K Loss: 0.011837398633360863
Epoch [59], Step [2/120], Patch [7/9], SIDD Loss: 6.655932520516217e-05, DIV2K Loss: 0.005175817292183638
Epoch [59], Step [2/120], Patch [8/9], SIDD Loss: 8.463067933917046e-05, DIV2K Loss: 0.015781056135892868
Epoch [59], Step [2/120], Patch [9/9], SIDD Loss: 8.335959864780307e-05, DIV2K Loss: 0.01011037826538086
Epoch [59], Step [3/120], Patch [1/6], SIDD Loss: 0.0001254286034964025, DIV2K Loss: 0.006387046538293362
Epoch [59], Step [3/120], Patch [2/6], SIDD Loss: 6.59205179545097e-05, DIV2K Loss: 0.004693564027547836
Epoch [59], Step [3/120], Patch [3/6], SIDD Loss: 2.8830228984588757e-05, DIV2K Loss: 0.0009951391257345676
Epoch [59], Step [3/120], Patch [4/6], SIDD Loss: 7.027034007478505e-05, DIV2K Loss: 0.008335713297128677
Epoch [59], Step [3/120], Patch [5/6], SIDD Loss: 5.9448531828820705e-05, DIV2K Loss: 0.004820934496819973
