Epoch [45], Step [1/800], Patch [1/6], Loss: 0.06248621270060539
Epoch [45], Step [1/800], Patch [2/6], Loss: 0.006269930861890316
Epoch [45], Step [1/800], Patch [3/6], Loss: 0.004359041340649128
Epoch [45], Step [1/800], Patch [4/6], Loss: 0.0055364272557199
Epoch [45], Step [1/800], Patch [5/6], Loss: 0.005263626109808683
Epoch [45], Step [1/800], Patch [6/6], Loss: 0.005224188324064016
Epoch [45], Step [2/800], Patch [1/6], Loss: 0.004573463927954435
Epoch [45], Step [2/800], Patch [2/6], Loss: 0.005051379557698965
Epoch [45], Step [2/800], Patch [3/6], Loss: 0.005367388017475605
Epoch [45], Step [2/800], Patch [4/6], Loss: 0.003603857010602951
Epoch [45], Step [2/800], Patch [5/6], Loss: 0.004503027535974979
Epoch [45], Step [2/800], Patch [6/6], Loss: 0.005739751271903515
Epoch [45], Step [3/800], Patch [1/6], Loss: 0.0013167215511202812
Epoch [45], Step [3/800], Patch [2/6], Loss: 0.0008995546377263963
Epoch [45], Step [3/800], Patch [3/6], Loss: 0.0012021458242088556
Epoch [45], Step [3/800], Patch [4/6], Loss: 0.004054496996104717
Epoch [45], Step [3/800], Patch [5/6], Loss: 0.004496891051530838
Epoch [45], Step [3/800], Patch [6/6], Loss: 0.006479516625404358
Epoch [45], Step [4/800], Patch [1/6], Loss: 0.0018364442512392998
Epoch [45], Step [4/800], Patch [2/6], Loss: 0.0016227321466431022
Epoch [45], Step [4/800], Patch [3/6], Loss: 0.001954851672053337
Epoch [45], Step [4/800], Patch [4/6], Loss: 0.002603046828880906
Epoch [45], Step [4/800], Patch [5/6], Loss: 0.002720711287111044
Epoch [45], Step [4/800], Patch [6/6], Loss: 0.0019987213890999556
Epoch [45], Step [5/800], Patch [1/6], Loss: 0.0029543524142354727
Epoch [45], Step [5/800], Patch [2/6], Loss: 0.0030384778510779142
Epoch [45], Step [5/800], Patch [3/6], Loss: 0.0037631839513778687
Epoch [45], Step [5/800], Patch [4/6], Loss: 0.0037390959914773703
Epoch [45], Step [5/800], Patch [5/6], Loss: 0.002835411112755537
Epoch [45], Step [5/800], Patch [6/6], Loss: 0.00722573883831501
Epoch [45], Step [6/800], Patch [1/6], Loss: 0.0011943865101784468
Epoch [45], Step [6/800], Patch [2/6], Loss: 0.0057566240429878235
Epoch [45], Step [6/800], Patch [3/6], Loss: 0.008034675382077694
Epoch [45], Step [6/800], Patch [4/6], Loss: 0.02409062348306179
Epoch [45], Step [6/800], Patch [5/6], Loss: 0.030420534312725067
Epoch [45], Step [6/800], Patch [6/6], Loss: 0.02245657704770565
Epoch [45], Step [7/800], Patch [1/9], Loss: 0.019276918843388557
Epoch [45], Step [7/800], Patch [2/9], Loss: 0.012639613822102547
Epoch [45], Step [7/800], Patch [3/9], Loss: 0.015248110517859459
Epoch [45], Step [7/800], Patch [4/9], Loss: 0.019790135324001312
Epoch [45], Step [7/800], Patch [5/9], Loss: 0.012205922976136208
Epoch [45], Step [7/800], Patch [6/9], Loss: 0.012021549046039581
Epoch [45], Step [7/800], Patch [7/9], Loss: 0.009274890646338463
Epoch [45], Step [7/800], Patch [8/9], Loss: 0.010685103014111519
Epoch [45], Step [7/800], Patch [9/9], Loss: 0.011043134145438671
Epoch [45], Step [8/800], Patch [1/6], Loss: 0.005823881831020117
Epoch [45], Step [8/800], Patch [2/6], Loss: 0.006299334578216076
Epoch [45], Step [8/800], Patch [3/6], Loss: 0.0036037347745150328
Epoch [45], Step [8/800], Patch [4/6], Loss: 0.005859168246388435
Epoch [45], Step [8/800], Patch [5/6], Loss: 0.00480652367696166
Epoch [45], Step [8/800], Patch [6/6], Loss: 0.005231907125562429
Epoch [45], Step [9/800], Patch [1/6], Loss: 0.007410924416035414
Epoch [45], Step [9/800], Patch [2/6], Loss: 0.01559503749012947
Epoch [45], Step [9/800], Patch [3/6], Loss: 0.01281021162867546
Epoch [45], Step [9/800], Patch [4/6], Loss: 0.005373979918658733
Epoch [45], Step [9/800], Patch [5/6], Loss: 0.013957008719444275
Epoch [45], Step [9/800], Patch [6/6], Loss: 0.015327314846217632
Epoch [45], Step [10/800], Patch [1/6], Loss: 0.0015733009204268456
Epoch [45], Step [10/800], Patch [2/6], Loss: 0.002712781308218837
Epoch [45], Step [10/800], Patch [3/6], Loss: 0.0025545447133481503
Epoch [45], Step [10/800], Patch [4/6], Loss: 0.003119352739304304
Epoch [45], Step [10/800], Patch [5/6], Loss: 0.004343725275248289
Epoch [45], Step [10/800], Patch [6/6], Loss: 0.006007322110235691
Epoch [45], Step [11/800], Patch [1/9], Loss: 0.008396556600928307
Epoch [45], Step [11/800], Patch [2/9], Loss: 0.007993708364665508
Epoch [45], Step [11/800], Patch [3/9], Loss: 0.007357426919043064
Epoch [45], Step [11/800], Patch [4/9], Loss: 0.004615527577698231
Epoch [45], Step [11/800], Patch [5/9], Loss: 0.005629813298583031
Epoch [45], Step [11/800], Patch [6/9], Loss: 0.0047220797277987
Epoch [45], Step [11/800], Patch [7/9], Loss: 0.005838421173393726
Epoch [45], Step [11/800], Patch [8/9], Loss: 0.006158732809126377
Epoch [45], Step [11/800], Patch [9/9], Loss: 0.005195699632167816
Epoch [45], Step [12/800], Patch [1/6], Loss: 0.010169107466936111
Epoch [45], Step [12/800], Patch [2/6], Loss: 0.012201732955873013
Epoch [45], Step [12/800], Patch [3/6], Loss: 0.01045534759759903
Epoch [45], Step [12/800], Patch [4/6], Loss: 0.008244521915912628
Epoch [45], Step [12/800], Patch [5/6], Loss: 0.003949105739593506
Epoch [45], Step [12/800], Patch [6/6], Loss: 0.008099490776658058
Epoch [45], Step [13/800], Patch [1/6], Loss: 0.007316499948501587
Epoch [45], Step [13/800], Patch [2/6], Loss: 0.019011594355106354
Epoch [45], Step [13/800], Patch [3/6], Loss: 0.02062806487083435
Epoch [45], Step [13/800], Patch [4/6], Loss: 0.01570707932114601
Epoch [45], Step [13/800], Patch [5/6], Loss: 0.019968247041106224
Epoch [45], Step [13/800], Patch [6/6], Loss: 0.021949023008346558
Epoch [45], Step [14/800], Patch [1/6], Loss: 0.00297403777949512
